action	UP	DOWN	FRONT	BACK	CENTER	PERIPHERY	CONTACT	IN	OUT	SURFACE	CYCLE	S-P-G	NEAR	FAR	explained schema
are_deflowered_by							1								strong physical contact
are_forgiven_by,forgive													1		closing a gap
appoint,are_appointed_by	1														mostly upwards in hierarchy
imitate,are_imitated_by,mimic,impersonate,are_impersonated_by								-1	1						showing/expressing someone else
track_down,find,are_found_by												1			follow thorugh multiple steps
are_molded_by										1					work on surface
are_enslaved_by,enslave	-1	1													working under
grow_suspicious_of											1				developing process
sacrifice_to,sacrifice	-1	1													let down take down
take_aim_at,target,are_targeted_by												1			follow thorugh multiple steps
elude,are_eluded_by,avoid			-1	1											backing off
are_divorced_by,divorce								-1	1						getting out of marriage
summon,are_summoned_by								1							being called in
die_for	-1	1													going down for someone
starve											1				harmful process
are_supplanted_by,supplant					-1	1									push away from centre of focus
are_challenged_by,challenge							1								
are_uncovered_by								-1	1						being taken out of cover
disobey,are_disobeyed_by			1												frontally against
conspire_with,collude_with											1				process
are_criticized_by,criticize,are_censured_by,censure			-1	1											being pushed back
overthrow,are_overthrown_by,are_deposed_by	-1	1													take down
are_abducted_by,abduct,are_kidnapped_by,kidnap								1							take in posession
are_snatched_by,snatch,catch,are_caught_by,capture,are_captured_by								1							take in posession
save,are_saved_by,rescue,are_rescued_by,help,are_helped_by,assist,are_assisted_by,are_facilitated_by,facilitate								1							take in care
are_scolded_by	-1	1													treat someone from higher position
date							1								
are_mistaken_for										1					something went wrong on surface
commit_to							1								
condemn	-1	1													treat someone from higher position
destroy							1								strong physical contact
enchant,are_enchanted_by					-1	1									loosing the center of focus
interrogate,are_interrogated_by,are_questioned_by,question,cross_examine								-1	1						take information out
lie_for					-1	1									spread lies
admire,are_admired_by,charm,are_charmed_by	1														look up
travel_with												1			
trick,are_tricked_by,defraud,are_defrauded_by					-1	1									changing attention to periphery
are_handled_by,handle,deal_with											1				process
enlist,are_enlisted_by								1							take in to a list
are_investigated_by,examine,are_examined_by										1					observe on surface
are_evaluated_by,evaluate,evaluate_with											1				process
fail_to_reward	-1	1													let down
are_recruited_by,recruit								1							take in 
are_cut_off_by													-1	1	being far off
are_imprisoned_by,imprison,are_detained_by,detain,take_as_prisoner,arrest,are_arrested_for_killing,are_arrested_for_hurting								1							take in custody
are_welcomed_by,welcome,are_greeted_by								1							take in home
complain_to													1		bring arguments near
compete_with,compete_against,run_against							1								
follow,are_followed_by,are_escorted_by,are_accompanied_by,accompany												1			follow multiple steps
campaign_for,propagandize_for	1														raise awarness up
advise,are_advised_by,counsel,are_counseled_by,are_counselled_by											1				process
are_mistreated_by	-1	1													being treated downwards
vote_for								1							take in the vote
search_for,look_for,are_sought_by,seek,are_tracked_by,hunt,are_hunted_by												1			follow multiple steps
control,are_controlled_by,are_used_by,act_for	-1	1													put control down on someone
diagnose,are_diagnosed_by,are_treated_by,treat											1				process
torture,are_tortured_by,torment,are_tormented_by							1								strong physical contact
sign_up	1														
watch_over,look_after,supervise,are_supervised_by,monitor,are_monitored_by												1			follow multiple steps
are_chosen_by								1							take someone in favor
are_excommunicated_by,excommunicate,are_defrocked_by													-1	1	send off
are_expelled_by													-1	1	send off
share_stories_with					-1	1									spread stories
love,are_loved_by							1								
read_the_works_of,read_about,are_read_by								1							take information in
are_booed_by	-1	1													look down on
are_photographed_by,photograph					1										capture an image
drink_with								1							taking the liquid in
play_with								1							include
struggle_against,struggle_with											1				harmful process
break_up_with								-1	1						get out of relationship
evict,are_evicted_by								1							taken in by sb
visit,are_visited_by													1		come near sb
are_funded_by,fund,are_paid_by,pay,are_financed_by,finance,invest_in										1					build the ground the foundation
play_for					-1	1									extending for sb
cry_for	-1	1													being down 
guard,are_guarded_by,defend,are_defended_by,protect,are_protected_by,are_shielded_by			1												to be in front of sb
brief_against			-1	1											against
sing_with					-1	1									expand voice with sb
are_hindered_by			-1	1											hold back
