Action;Similar;Opposite;A feeling;B feeling
are_frustrated_by;are_abused_by, are_hindered_by, are_failed_by, are_disappointed_by, are_challenged_by, are_contradicted_by, are_pushed_too_far_by, are_exploited_by, are_driven_mad_by, are_unimpressed_with, are_disobeyed_by, are_tormented_by, are_fought_by, are_undermined_by;are_supported_by, are_facilitated_by, are_encouraged_by, are_assisted_by;disappointed++;
are_graded_by;are_evaluated_by, are_examined_by, are_questioned_by, are_profiled_by, are_judged_by, are_diagnosed_by, are_reviewed_by;are_judged_by;;
are_greeted_by;are_welcomed_by, are_accommodated_by, are_introduced_by, are_received_by;are_rebuffed_by, are_spurned_by;respected+;
are_guaranteed_by;are_supported_by, are_facilitated_by, are_insured_by, are_protected_by, are_shielded_by, are_defended_by;are_cheated_by;respected+;respected+
are_guarded_by;are_supervised_by, are_protected_by, are_shielded_by, are_monitored_by;are_abandoned_by, are_mistreated_by;supported++;
are_guided_by;follow, are_led_by, are_commanded_by, are_advised_by, are_supervised_by, are_molded_by, are_influenced_by, are_mentored_by, are_motivated_by, are_driven_by, are_handled_by, are_counseled_by, are_counselled_by, are_managed_by, are_monitored_by;are_corrupted_by;inspired+;respected++
are_hunted_by;elude, are_chased_by, are_pursued_by, flee_from, hide_from, are_tracked_by, are_stalked_by, are_wanted_by;are_abandoned_by, are_ignored_by;attacked+, repelled++;attracted+
are_hurt_by;are_abused_by, are_bitten_by, are_beaten_by, are_punished_by, are_disfigured_by, are_savaged_by, are_tortured_by, are_tormented_by, are_assaulted_by, are_sickened_by, are_traumatized_by, are_victimized_by, are_whipped_by;are_tended_by, are_spoiled_by;attacked++;
are_impersonated_by;are_copied_by, are_imitated_by, are_mistaken_for;are_forgotten_by, are_misrepresented_by;disappointed+;inspired+
are_influenced_by;are_guided_by, are_drilled_by, are_molded_by, are_inspired_by, are_informed_by, are_mentored_by, are_persuaded_by, are_supervised_by, are_taught_by, consult, copy, are_counseled_by, are_led_by, are_educated_by, are_motivated_by;break_with;inspired+;respected++
are_instructed_by;are_trained_by, are_drilled_by, are_mentored_by, are_educated_by, are_coached_by, are_lectured_by, learn_from, study_under, are_tutored_by, are_supervised_by, are_taught_by;lecture_to;inspired+;respected++
are_insured_by;are_protected_by, are_shielded_by, are_guaranteed_by, are_championed_by, are_defended_by;are_traumatized_by, are_cheated_by;supported+;
are_introduced_by;are_welcomed_by, are_greeted_by, are_received_by;are_ejected_by;respected+;respected+
are_judged_by;are_probed_by, are_examined_by, are_graded_by, are_diagnosed_by, disappoint, fail_to_impress, lose_favor_with, are_failed_by, are_profiled_by, are_reviewed_by;impress;;disappointed+, respected+
are_lured_by;are_enticed_by, are_charmed_by, are_tricked_by, are_intrigued_by, are_enchanted_by, are_seduced_by, are_attracted_by, fall_in_love_with, are_captured_by, are_caught_by, are_wooed_by;ignore, are_disgusted_by, avoid, run_away_from, hide_from;attracted+, respected-;attracted+
are_managed_by;are_commanded_by, are_handled_by, are_supervised_by, are_led_by, are_guided_by, are_monitored_by, work_for, are_mentored_by;disobey, tune_out;;respected++
are_missed_by;are_remembered_by, are_haunted_by;are_forgotten_by;;attracted+
