Action;Similar;Opposite;A feeling;B feeling
pose_for;model_for, entice, are_manipulated_by, are_photographed_by, are_painted_by;ignore, break_with;;attracted+
pray_for;care_for, advocate_for, are_concerned_about, watch_over, look_after;curse, denounce, renounce;;supported+
provide_for;look_after, care_for, tend, cater_to, supply, supply_to, cook_for, assist, help, raise;starve, cause_trouble_for, steal_from, take_advantage_of;;supported+
question;interview, interrogate, examine, cross_examine, debrief;lose_interest_in, are_silenced_by;;
raise;nurture, tend, cater_to, wait_on, minister_to, breastfeed, look_after, care_for, provide_for;starve, abandon leave_behind;respected+;supported+
read_about;study, read_the_works_of, are_intrigued_by;lose_interest_in, ignore;inspired+;
rely_on;become_dependent_upon, are_served_by;break_with, are_failed_by;supported+;
remember;pine_for, cry_for, are_haunted_by;exorcise;inspired+;
renounce;reject, lose_faith_in, break_with, excommunicate, break_up_with, cast_off, are_disillusioned_by, leave_behind, abandon, curse, denounce, rebuff, harden_toward, cast_out, condemn, disqualify, overcome;testify_for, propagandize_for, campaign_for;repelled+++;disrespected+++
rent_from;lease_from, are_accommodated_by;are_evicted_by, are_expelled_by;;
rent_to;lease_to, accommodate, let_in;evict, eject;;
repress;suppress, oppress, subjugate, rule_over, silence, censure, dominate, starve, take_as_prisoner, subdue;encourage, rouse, support;;disrespected++
respond_to;answer, inform, answer_to, report_to, complain_to, answer_questions_from;ignore, tune_out;;
rob;defraud, steal_from, cheat, exploit, take_advantage_of;buy_from, borrow_from;;disrespected+, disappointed++
round_up;arrest, seek, apprehend;free, encourage;;
rouse;inspire, impress, encourage, champion, unleash;repress, suppress;respected+;inspired++
seek_sympathy_from;reach_out_to, appeal_to, beg_forgiveness_from;are_ignored_by, are_forgotten_by, are_silenced_by, are_abandoned_by;;respected+
sell_via;sell_through, act_via;fail_to_deliver_for;;
shill_for;propagandize_for, speak_for, lie_for, popularize, campaign_for, testify_for;rise_against, are_disgusted_by, testify_against;inspired+;respected+
sire;give_birth_to;abandon;respected+;
speak_for;advocate_for, interpret_for, act_for, govern_for, lie_for, translate_for, ask_questions_for, negotiate_for, shill_for, take_messages_for;silence;respected+;respected++
speak_with;chat_with, interact_with, share_stories_with, communicate_with, visit;ignore, break_with;respected+;respected+
spoil;indulge, pander_to, cater_to, pamper, wait_on, attend_to, cook_for, please, suck_up_to, curry_favor_with;harass, torment, persecute, bully, whip;disrespected+;supported+
study_under;are_tutored_by, are_instructed_by, are_lectured_by, learn_from, are_coached_by, read_the_works_of, are_taught_by;lecture_to;inspired++;respected++
style_for;dress, create_for, design_for, beautify, enhance;undermine, fail_to_deliver_for, fail_to_impress;respected+;respected++, supported+
subdue;subjugate, conquer, oppress, repress;encourage, rouse;;attacked+, disrespected+
supply_to;work_with, sell_to, supply, provide_for, deliver_to, export_to;fail_to_deliver_for;;
take_messages_for;speak_for, act_for, report_to, interpret_for, answer_to;are_silenced_by, are_censured_by, are_suppressed_by;;respected++
talk_through;speak_through, communicate_through, communicate_via;are_misrepresented_by;respected++;respected+
target;take_aim_at, resent, challenge;lose_interest_in, ignore;inspired-, attracted+;attacked+
testify_before;confide_in, report_to, answer_to, snitch_to, tip_off;are_silenced_by;;respected++
threaten_with;intimidate_with, unleash;are_unimpressed_with, joke_about;supported+;
topple;defeat, supplant, dominate, overthrow, upstage, conquer;cede_power_to, bow_down_to;inspired---;attacked++, disrespected+++, supported---
train_with;work_with, learn_with;;respected+;respected+
transport;drive_for;abandon, leave_behind;;
unleash;rouse, intimidate_with, release, deploy, dispatch, threaten_with, send;repress, suppress;supported+;
work_under;work_for, are_ruled_by, answer_to, report_to, obey, serve, wait_on, tend;cause_trouble_for, undermine;inspired+;respected++
worship_with;pray_with, conspire_with;break_with;respected+;respected+
write_for;are_published_by, interpret_for, propagandize_for, translate_for;are_silenced_by, are_censured_by, are_suppressed_by;respected+;respected++
write_to;communicate_with, speak_to, report_to, reach_out_to, answer_to;are_rebuffed_by, are_spurned_by;respected+;respected+
