action	A (***strong, **medium, *weak)	B (***strong, **medium, *weak)
resist	**animations/Stand/BodyTalk/Listening/ListeningLeft_1, **animations/Stand/BodyTalk/Listening/ListeningRight_1, ***animations/Stand/Emotions/Positive/Proud_3, **animations/Stand/Gestures/Thinking_8, **animations/Stand/Gestures/YouKnowWhat_2, *animations/Stand/Gestures/Angry_1	
are_resisted_by		**animations/Stand/BodyTalk/Listening/ListeningLeft_1, **animations/Stand/BodyTalk/Listening/ListeningRight_1, ***animations/Stand/Emotions/Positive/Proud_3, **animations/Stand/Gestures/Thinking_8, **animations/Stand/Gestures/YouKnowWhat_2, *animations/Stand/Gestures/Angry_1
surrender_to	**animations/Stand/BodyTalk/Listening/ListeningRight_3, **animations/Stand/BodyTalk/Listening/ListeningLeft_3, ***animations/Stand/BodyTalk/Speaking/BodyTalk_17, **animations/Stand/Reactions/SeeSomething_4	
confess_to	*animations/Stand/BodyTalk/Listening/ListeningRight_3, *animations/Stand/BodyTalk/Listening/ListeningLeft_3, **animations/Stand/Reactions/BumperRight_1, **animations/Stand/Reactions/EthernetOff_1, **animations/Stand/Reactions/SeeSomething_6, **animations/Stand/Reactions/BumperLeft_1, **animations/Stand/Reactions/Bumpers_1, **animations/Stand/Reactions/Bumpers_3, **animations/Stand/Reactions/Bumpers_2, ***animations/Stand/Waiting/Innocent_1, **animations/Stand/Gestures/WhatSThis_6, *animations/Stand/Gestures/IDontKnow_6, ***animations/Stand/Gestures/Please_1, *animations/Stand/Gestures/Give_5	
pick	***animations/Stand/BodyTalk/Thinking/Remember_3, **animations/Stand/BodyTalk/Thinking/Remember_1, ***animations/Stand/Gestures/You_1, ***animations/Stand/Gestures/You_2, **animations/Stand/Gestures/You_3, **animations/Stand/Gestures/You_4	
select	***animations/Stand/BodyTalk/Thinking/Remember_3, **animations/Stand/BodyTalk/Thinking/Remember_1, ***animations/Stand/Gestures/You_1, ***animations/Stand/Gestures/You_2, **animations/Stand/Gestures/You_3, **animations/Stand/Gestures/You_4	
are_picked_by	***animations/Stand/Gestures/You_1, ***animations/Stand/Gestures/You_2	***animations/Stand/BodyTalk/Thinking/Remember_3, **animations/Stand/BodyTalk/Thinking/Remember_1, **animations/Stand/Gestures/You_3, **animations/Stand/Gestures/You_4
are_selected_by		***animations/Stand/BodyTalk/Thinking/Remember_3, **animations/Stand/BodyTalk/Thinking/Remember_1, ***animations/Stand/Gestures/You_1, ***animations/Stand/Gestures/You_2, **animations/Stand/Gestures/You_3, **animations/Stand/Gestures/You_4
condemn	**animations/Stand/BodyTalk/Thinking/Remember_3	
remember	**animations/Stand/BodyTalk/Thinking/Remember_3, ***animations/Stand/Waiting/ScratchHead_1	
recall	**animations/Stand/BodyTalk/Thinking/Remember_3, ***animations/Stand/Waiting/ScratchHead_1	
deliver_for	***animations/Stand/BodyTalk/Thinking/Remember_2, ***animations/Stand/BodyTalk/Speaking/BodyTalk_6, **animations/Stand/Gestures/WhatSThis_6, **animations/Stand/Gestures/Give_4, **animations/Stand/Gestures/Caress_2, **animations/Stand/Gestures/WhatSThis_3, ***animations/Stand/Gestures/Enthusiastic_5, **animations/Stand/Gestures/WhatSThis_2, ***animations/Stand/Gestures/Give_1, **animations/Stand/Gestures/Joy_1, ***animations/Stand/Gestures/Give_5, *animations/Stand/Gestures/This_10	
deliver_to	***animations/Stand/BodyTalk/Thinking/Remember_2, ***animations/Stand/BodyTalk/Speaking/BodyTalk_6, **animations/Stand/BodyTalk/Speaking/BodyTalk_20, *animations/Stand/Gestures/IDontKnow_6, **animations/Stand/Gestures/Thinking_7, ***animations/Stand/Gestures/Give_4, **animations/Stand/Gestures/WhatSThis_3, ***animations/Stand/Gestures/Enthusiastic_5, **animations/Stand/Gestures/WhatSThis_2, ***animations/Stand/Gestures/Give_1, **animations/Stand/Gestures/Joy_1, **animations/Stand/Gestures/Give_6, ***animations/Stand/Gestures/Give_5	
send	**animations/Stand/BodyTalk/Thinking/Remember_2, *animations/Stand/Gestures/Give_4, ***animations/Stand/Gestures/Caress_2, *animations/Stand/Gestures/ShowSky_2, ***animations/Stand/Gestures/You_5, *animations/Stand/Gestures/Give_1	
build_for	**animations/Stand/BodyTalk/Thinking/Remember_2, **animations/Stand/Gestures/ShowSky_7, *animations/Stand/Gestures/WhatSThis_3, **animations/Stand/Gestures/Follow_1	
pick_up	**animations/Stand/BodyTalk/Thinking/Remember_2, **animations/Stand/BodyTalk/Speaking/BodyTalk_8, *animations/Stand/Waiting/Fitness_3, *animations/Stand/Gestures/CountTwo_1	
carry_for	**animations/Stand/BodyTalk/Thinking/Remember_2, **animations/Stand/BodyTalk/Speaking/BodyTalk_6, ***animations/Stand/BodyTalk/Speaking/BodyTalk_20, *animations/Stand/Gestures/Explain_6, **animations/Stand/Gestures/Give_1	
dispatch	**animations/Stand/BodyTalk/Thinking/Remember_1, ***animations/Stand/Gestures/Reject_5	
are_dispatched_by		**animations/Stand/BodyTalk/Thinking/Remember_1, ***animations/Stand/Gestures/Reject_5
steal_from	***iconic_actions-4373e0/steal,*animations/Stand/BodyTalk/Thinking/Remember_1, **animations/Stand/BodyTalk/Speaking/BodyTalk_15, *animations/Stand/Reactions/SeeColor_3, *animations/Stand/Gestures/Me_7, *animations/Stand/Gestures/Me_1, *animations/Stand/Gestures/Me_8, *animations/Stand/Gestures/CatchFly_2, *animations/Stand/Gestures/Take_1, *animations/Stand/Gestures/Great_1	
rob	***iconic_actions-4373e0/steal,*animations/Stand/BodyTalk/Thinking/Remember_1, **animations/Stand/BodyTalk/Speaking/BodyTalk_15, *animations/Stand/Reactions/SeeColor_3, *animations/Stand/Gestures/Me_7, *animations/Stand/Gestures/Me_1, *animations/Stand/Gestures/Me_8, *animations/Stand/Gestures/CatchFly_2, *animations/Stand/Gestures/Take_1, *animations/Stand/Gestures/Great_1	
are_robbed_by		***iconic_actions-4373e0/steal,*animations/Stand/BodyTalk/Thinking/Remember_1, **animations/Stand/BodyTalk/Speaking/BodyTalk_15, *animations/Stand/Reactions/SeeColor_3, *animations/Stand/Gestures/Me_7, *animations/Stand/Gestures/Me_1, *animations/Stand/Gestures/Me_8, *animations/Stand/Gestures/CatchFly_2, *animations/Stand/Gestures/Take_1, *animations/Stand/Gestures/Great_1
reach_out_to	*animations/Stand/BodyTalk/Speaking/BodyTalk_19, ***animations/Stand/Gestures/Hey_7, *animations/Stand/Gestures/CatchFly_1	
sell_to	*animations/Stand/BodyTalk/Speaking/BodyTalk_19, **animations/Stand/Gestures/WhatSThis_6, *animations/Stand/Gestures/WhatSThis_2, **animations/Stand/Gestures/Give_1, **animations/Stand/Gestures/Joy_1, **animations/Stand/Gestures/Give_6	
buy_from		*animations/Stand/BodyTalk/Speaking/BodyTalk_19
sell_through	*animations/Stand/BodyTalk/Speaking/BodyTalk_19	
sell_via	*animations/Stand/BodyTalk/Speaking/BodyTalk_19	
resemble	***animations/Stand/BodyTalk/Speaking/BodyTalk_17, **animations/Stand/BodyTalk/Speaking/BodyTalk_4	
are_defeated_by	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Reactions/Heat_2, ***animations/Stand/Reactions/Heat_1, *animations/Stand/Gestures/Everything_1	
defeat	*animations/Stand/Gestures/Nothing_1, *animations/Stand/Gestures/Everything_1	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Reactions/Heat_2, ***animations/Stand/Reactions/Heat_1
lose_to	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Reactions/Heat_2, ***animations/Stand/Reactions/Heat_1, *animations/Stand/Gestures/Nothing_1, *animations/Stand/Gestures/Everything_1	
are_released_by	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Waiting/HideHands_1, **animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/Confused_1	
release	**animations/Stand/Gestures/WhatSThis_6, **animations/Stand/Gestures/Give_1, ***animations/Stand/Gestures/Joy_1, ***animations/Stand/Gestures/CountMore_2, *animations/Stand/Gestures/No_7, **animations/Stand/Gestures/ShowFloor_5, **animations/Stand/Gestures/ShowFloor_1	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Waiting/HideHands_1, **animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/Confused_1
break_free_of	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Waiting/HideHands_1	
free	**animations/Stand/Gestures/Give_1, ***animations/Stand/Gestures/Joy_1, ***animations/Stand/Gestures/CountMore_2, **animations/Stand/Gestures/ShowFloor_5, **animations/Stand/Gestures/ShowFloor_1	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Waiting/HideHands_1, **animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/Confused_1
are_freed_by	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Waiting/HideHands_1, **animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/Confused_1	
cast_off	**animations/Stand/Gestures/Give_1, ***animations/Stand/Gestures/Joy_1	**animations/Stand/BodyTalk/Speaking/BodyTalk_17
vote_for	*animations/Stand/BodyTalk/Speaking/BodyTalk_22, *animations/Stand/Gestures/This_3	
lose_control_over	**animations/Stand/BodyTalk/Speaking/BodyTalk_12, *animations/Stand/Gestures/WhatSThis_6	
refuse_to_pay	*animations/Stand/BodyTalk/Speaking/BodyTalk_12, ***animations/Stand/BodyTalk/Speaking/BodyTalk_18, *animations/Stand/Gestures/Everything_4, *animations/Stand/Gestures/No_9, **animations/Stand/Gestures/Everything_1	
