action	A (***strong, **medium, *weak)	B (***strong, **medium, *weak)
snatch	***animations/Stand/BodyTalk/Speaking/BodyTalk_15, **sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Me_1, ***animations/Stand/Gestures/CatchFly_2, **animations/Stand/Gestures/Coaxing_1, ***animations/Stand/Gestures/CatchFly_1, *animations/Stand/Gestures/Enthusiastic_4, **animations/Stand/Gestures/Great_1	
catch	***animations/Stand/BodyTalk/Speaking/BodyTalk_15, **sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Me_1, ***animations/Stand/Gestures/CatchFly_2, **animations/Stand/Gestures/Coaxing_1, ***animations/Stand/Gestures/CatchFly_1, *animations/Stand/Gestures/Enthusiastic_4, *animations/Stand/Gestures/Me_5, *animations/Stand/Gestures/Me_4, **animations/Stand/Gestures/Coaxing_2	
are_caught_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_15, **sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Me_1, ***animations/Stand/Gestures/CatchFly_2, **animations/Stand/Gestures/Coaxing_1, ***animations/Stand/Gestures/CatchFly_1, *animations/Stand/Gestures/Enthusiastic_4, *animations/Stand/Gestures/Me_5, *animations/Stand/Gestures/Me_4, **animations/Stand/Gestures/Coaxing_2
capture	***animations/Stand/BodyTalk/Speaking/BodyTalk_15, **sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/Me_1, ***animations/Stand/Gestures/CatchFly_2, ***animations/Stand/Gestures/CatchFly_1, *animations/Stand/Gestures/Enthusiastic_4, *animations/Stand/Gestures/Me_5, *animations/Stand/Gestures/Me_4, *animations/Stand/Gestures/Coaxing_2	
are_captured_by	***animations/Stand/Gestures/Me_1, ***animations/Stand/Gestures/CatchFly_2	***animations/Stand/BodyTalk/Speaking/BodyTalk_15, **sound:animations/Stand/Emotions/Positive/Happy_2, ***animations/Stand/Gestures/CatchFly_1, *animations/Stand/Gestures/Enthusiastic_4, *animations/Stand/Gestures/Me_5, *animations/Stand/Gestures/Me_4, *animations/Stand/Gestures/Coaxing_2
export_from	***animations/Stand/BodyTalk/Speaking/BodyTalk_6	
borrow_from	**animations/Stand/Gestures/Me_7, **animations/Stand/Gestures/Thinking_7, *animations/Stand/Gestures/Me_8	***animations/Stand/BodyTalk/Speaking/BodyTalk_6, **animations/Stand/Gestures/Give_2, **animations/Stand/Gestures/Give_5
lend_to	***animations/Stand/BodyTalk/Speaking/BodyTalk_6, **animations/Stand/Gestures/Thinking_7, *animations/Stand/Gestures/This_15, **animations/Stand/Gestures/WhatSThis_2, **animations/Stand/Gestures/Give_2, ***animations/Stand/Gestures/Give_5	
deploy	***animations/Stand/BodyTalk/Speaking/BodyTalk_6, ***animations/Stand/Gestures/Reject_5	
are_deployed_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_6, ***animations/Stand/Gestures/Reject_5
are_fielded_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_6, ***animations/Stand/Gestures/Reject_5
translate_for	**animations/Stand/BodyTalk/Speaking/BodyTalk_6, *animations/Stand/Waiting/ScratchHand_1, **animations/Stand/Gestures/Claw_2, **animations/Stand/Gestures/HeSays_2, **animations/Stand/Gestures/CountThree_1, **animations/Stand/Gestures/CountFour_1	
fail_to_deliver_for	*animations/Stand/BodyTalk/Speaking/BodyTalk_6, **animations/Stand/Gestures/WhatSThis_5, ***animations/Stand/Gestures/IDontKnow_1	
disrespect	***animations/Stand/BodyTalk/Speaking/BodyTalk_13, **animations/Stand/Gestures/But_1	
are_disrespected_by	**animations/Stand/Gestures/Angry_3	***animations/Stand/BodyTalk/Speaking/BodyTalk_13, **animations/Stand/Gestures/But_1
offend	***animations/Stand/BodyTalk/Speaking/BodyTalk_13, **animations/Stand/Gestures/But_1	
are_offended_by	**animations/Stand/Gestures/Angry_3	***animations/Stand/BodyTalk/Speaking/BodyTalk_13, **animations/Stand/Gestures/But_1
insult	***animations/Stand/BodyTalk/Speaking/BodyTalk_13	
are_insulted_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_13
mock	***animations/Stand/BodyTalk/Speaking/BodyTalk_13	
are_mocked_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_13
unleash	***animations/Stand/BodyTalk/Speaking/BodyTalk_21, **animations/Stand/BodyTalk/Speaking/BodyTalk_2, **animations/Stand/BodyTalk/Speaking/BodyTalk_3, *animations/Stand/Gestures/Give_4, *animations/Stand/Gestures/Explain_10, *animations/Stand/Gestures/WhatSThis_16	
give_birth_to	**animations/Stand/BodyTalk/Speaking/BodyTalk_21, **animations/Stand/Gestures/Yum_1	
receive	**animations/Stand/BodyTalk/Speaking/BodyTalk_21, **animations/Stand/Gestures/Yum_1	
are_received_by		**animations/Stand/BodyTalk/Speaking/BodyTalk_21, **animations/Stand/Gestures/Yum_1
pitch_at	**animations/Stand/BodyTalk/Speaking/BodyTalk_21, **animations/Stand/Gestures/ShowSky_3, **animations/Stand/Gestures/Far_2, **animations/Stand/Gestures/Give_6	
cater_to	*animations/Stand/BodyTalk/Speaking/BodyTalk_21, *animations/Stand/Gestures/WhatSThis_2	
cede_power_to	*animations/Stand/BodyTalk/Speaking/BodyTalk_21, *animations/Stand/Waiting/Waddle_1, *animations/Stand/Gestures/Explain_10, **animations/Stand/Gestures/OnTheEvening_2, *animations/Stand/Gestures/WhatSThis_4, *animations/Stand/Gestures/CountOne_2	
spread_lies_about	*animations/Stand/BodyTalk/Speaking/BodyTalk_21, ***animations/Stand/Gestures/OnTheEvening_2, **animations/Stand/Gestures/Mime_2, **animations/Stand/Gestures/CalmDown_4, *animations/Stand/Gestures/Excited_1, *animations/Stand/Gestures/CountMore_2	
enlist	***animations/Stand/BodyTalk/Speaking/BodyTalk_5	
are_enlisted_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_5
are_lectured_by		***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/This_7, *animations/Stand/Gestures/This_6, **animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFour_1, **animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6
lecture_to	***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/This_7, *animations/Stand/Gestures/This_6, **animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFour_1, **animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6	
coach	***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/This_7, *animations/Stand/Gestures/This_6, *animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6	
are_coached_by		***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/This_7, *animations/Stand/Gestures/This_6, *animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6
teach	***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, **animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/IDontKnow_5, *animations/Stand/Gestures/CountFour_1, **animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6	
are_taught_by		***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, **animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/IDontKnow_5, *animations/Stand/Gestures/CountFour_1, **animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6
mentor	***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6	
are_mentored_by		***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6
are_tutored_by		***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6
educate	***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFour_1, *animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6	
are_educated_by		***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFour_1, *animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6
instruct	***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/This_7, *animations/Stand/Gestures/This_6, **animations/Stand/Gestures/CountFive_1, **animations/Stand/Gestures/CountFour_2, *animations/Stand/Gestures/CountFour_1, **animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6	
are_instructed_by		***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/This_7, *animations/Stand/Gestures/This_6, **animations/Stand/Gestures/CountFive_1, **animations/Stand/Gestures/CountFour_2, *animations/Stand/Gestures/CountFour_1, **animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6
study_under		***iconic_actions-4373e0/lecture,*animations/Stand/BodyTalk/Speaking/BodyTalk_5, *animations/Stand/Gestures/CountFive_1, *animations/Stand/Gestures/CountFive_2, *animations/Stand/Gestures/CountTwo_2, *animations/Stand/Gestures/CountThree_2, *animations/Stand/Gestures/YouKnowWhat_6
evaluate	**animations/Stand/BodyTalk/Speaking/BodyTalk_5, **animations/Stand/Gestures/CountFive_1, **animations/Stand/Gestures/Choice_1, **animations/Stand/Gestures/CountFive_2, **animations/Stand/Gestures/CountTwo_2, **animations/Stand/Gestures/CountThree_2, **animations/Stand/Gestures/YouKnowWhat_6	
evaluate_with	**animations/Stand/BodyTalk/Speaking/BodyTalk_5, **animations/Stand/Gestures/CountFive_1, **animations/Stand/Gestures/Choice_1, **animations/Stand/Gestures/CountFive_2, **animations/Stand/Gestures/CountTwo_2, **animations/Stand/Gestures/CountThree_2, **animations/Stand/Gestures/YouKnowWhat_6	
are_evaluated_by		**animations/Stand/BodyTalk/Speaking/BodyTalk_5, **animations/Stand/Gestures/CountFive_1, **animations/Stand/Gestures/Choice_1, **animations/Stand/Gestures/CountFive_2, **animations/Stand/Gestures/CountTwo_2, **animations/Stand/Gestures/CountThree_2, **animations/Stand/Gestures/YouKnowWhat_6
compose_with	**animations/Stand/BodyTalk/Speaking/BodyTalk_11, *animations/Stand/Gestures/Claw_2, **animations/Stand/Gestures/Wings_3, **animations/Stand/Gestures/CountFour_2	
convert	*animations/Stand/BodyTalk/Speaking/BodyTalk_11, **animations/Stand/Gestures/CountThree_1, **animations/Stand/Gestures/CountFour_1	
are_converted_by		*animations/Stand/BodyTalk/Speaking/BodyTalk_11, **animations/Stand/Gestures/CountThree_1, **animations/Stand/Gestures/CountFour_1
consult	***animations/Stand/BodyTalk/Speaking/BodyTalk_1, *animations/Stand/Gestures/HeSays_1	
consult_with	***animations/Stand/BodyTalk/Speaking/BodyTalk_1, *animations/Stand/Gestures/HeSays_1	
persuade	***animations/Stand/BodyTalk/Speaking/BodyTalk_1, *animations/Stand/Gestures/Thinking_1	
are_persuaded_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_1, *animations/Stand/Gestures/Thinking_1
advise	***animations/Stand/BodyTalk/Speaking/BodyTalk_1, ***animations/Stand/Gestures/Explain_9, *animations/Stand/Gestures/This_12, **animations/Stand/Gestures/This_4, *animations/Stand/Gestures/Explain_1, *animations/Stand/Gestures/Explain_7, *animations/Stand/Gestures/Explain_2	
are_advised_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_1, ***animations/Stand/Gestures/Explain_9, *animations/Stand/Gestures/This_12, **animations/Stand/Gestures/This_4, *animations/Stand/Gestures/Explain_1, *animations/Stand/Gestures/Explain_7, *animations/Stand/Gestures/Explain_2
counsel	***animations/Stand/BodyTalk/Speaking/BodyTalk_1, ***animations/Stand/Gestures/Explain_9, **animations/Stand/Gestures/This_4	
are_counseled_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_1, ***animations/Stand/Gestures/Explain_9, **animations/Stand/Gestures/This_4
are_counselled_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_1, ***animations/Stand/Gestures/Explain_9, **animations/Stand/Gestures/This_4
are_probed_by		**animations/Stand/BodyTalk/Speaking/BodyTalk_1
negotiate_with	*animations/Stand/BodyTalk/Speaking/BodyTalk_1, **animations/Stand/Gestures/Explain_8, **animations/Stand/Gestures/WhatSThis_14, **animations/Stand/Gestures/Explain_4, *animations/Stand/Gestures/Explain_1, *animations/Stand/Gestures/Explain_7, **animations/Stand/Gestures/Excited_1, ***animations/Stand/Gestures/Choice_1, *animations/Stand/Gestures/Explain_2, ***animations/Stand/Gestures/CountThree_1, ***animations/Stand/Gestures/CountFour_1, *animations/Stand/Gestures/CountTwo_2	
negotiate_for	*animations/Stand/BodyTalk/Speaking/BodyTalk_1, **animations/Stand/Gestures/Explain_4, *animations/Stand/Gestures/Explain_1, *animations/Stand/Gestures/Explain_7, **animations/Stand/Gestures/Excited_1, ***animations/Stand/Gestures/Choice_1, *animations/Stand/Gestures/Explain_2, ***animations/Stand/Gestures/CountThree_1, ***animations/Stand/Gestures/CountFour_1, *animations/Stand/Gestures/CountTwo_2	
interpret_for	*animations/Stand/BodyTalk/Speaking/BodyTalk_14, *animations/Stand/Gestures/ShowSky_7	
interact_with	*animations/Stand/BodyTalk/Speaking/BodyTalk_14, *animations/Stand/Gestures/This_15	
are_hardened_by	*animations/Stand/Waiting/ShowMuscles_1	*animations/Stand/BodyTalk/Speaking/BodyTalk_8
harden_toward	*animations/Stand/BodyTalk/Speaking/BodyTalk_8	
perform_for	**animations/Stand/BodyTalk/Speaking/BodyTalk_2, **animations/Stand/BodyTalk/Speaking/BodyTalk_3, ***animations/Stand/Gestures/ShowSky_12, **animations/Stand/Gestures/Wings_1, *animations/Stand/Gestures/Wings_3	
perform_with	**animations/Stand/BodyTalk/Speaking/BodyTalk_2, **animations/Stand/BodyTalk/Speaking/BodyTalk_3, ***animations/Stand/Gestures/ShowSky_12, *animations/Stand/Gestures/Wings_1, *animations/Stand/Gestures/Wings_3	
search_for	***animations/Stand/Reactions/SeeSomething_5, ***animations/Stand/Waiting/Binoculars_1, **animations/Stand/Gestures/Thinking_2	
look_for	***animations/Stand/Reactions/SeeSomething_5, ***animations/Stand/Waiting/Binoculars_1, ***animations/Stand/Gestures/Thinking_2, **animations/Stand/Gestures/Look_1	
are_sought_by		***animations/Stand/Reactions/SeeSomething_5, ***animations/Stand/Waiting/Binoculars_1, **animations/Stand/Gestures/Thinking_2
seek	***animations/Stand/Reactions/SeeSomething_5, ***animations/Stand/Waiting/Binoculars_1, **animations/Stand/Gestures/Thinking_2	
are_tracked_by		***animations/Stand/Reactions/SeeSomething_5, *animations/Stand/Gestures/Thinking_2
track_down	**animations/Stand/Reactions/SeeSomething_5, ***animations/Stand/Reactions/SeeSomething_1, ***animations/Stand/Reactions/SeeSomething_3	
hunt	**animations/Stand/Reactions/SeeSomething_5, ***animations/Stand/Waiting/Binoculars_1	
are_hunted_by	*sound:animations/Stand/Waiting/Helicopter_1	**animations/Stand/Reactions/SeeSomething_5, ***animations/Stand/Waiting/Binoculars_1
fear	***animations/Stand/Reactions/LightShine_2, ***animations/Stand/Reactions/LightShine_1, ***animations/Stand/Reactions/LightShine_4, ***animations/Stand/Emotions/Negative/Fearful_1, ***sound:animations/Stand/Emotions/Negative/Fear_1, ***sound:animations/Stand/Emotions/Negative/Surprise_3, ***sound:animations/Stand/Emotions/Negative/Surprise_2, ***animations/Stand/Emotions/Negative/Anxious_1, *animations/Stand/Emotions/Neutral/Innocent_1, **sound:animations/Stand/Waiting/Monster_1, **animations/Stand/Gestures/Look_1, **animations/Stand/Gestures/Please_2, **animations/Stand/Gestures/Look_2	
are_feared_by	**animations/Stand/Gestures/Please_2	***animations/Stand/Reactions/LightShine_2, ***animations/Stand/Reactions/LightShine_1, ***animations/Stand/Reactions/LightShine_4, ***animations/Stand/Emotions/Negative/Fearful_1, ***sound:animations/Stand/Emotions/Negative/Fear_1, ***sound:animations/Stand/Emotions/Negative/Surprise_3, ***sound:animations/Stand/Emotions/Negative/Surprise_2, ***animations/Stand/Emotions/Negative/Anxious_1, *animations/Stand/Emotions/Neutral/Innocent_1, **sound:animations/Stand/Waiting/Monster_1, **animations/Stand/Gestures/Look_1, **animations/Stand/Gestures/Look_2
are_disgusted_by	***animations/Stand/Reactions/LightShine_2, **animations/Stand/Reactions/BumperRight_1, ***animations/Stand/Reactions/LightShine_1, **animations/Stand/Reactions/SeeSomething_6, **animations/Stand/Reactions/BumperLeft_1, **animations/Stand/Reactions/Bumpers_1, **animations/Stand/Reactions/Bumpers_3, ***animations/Stand/Reactions/LightShine_4, **animations/Stand/Reactions/Bumpers_2, ***animations/Stand/Emotions/Negative/Fearful_1, **sound:animations/Stand/Emotions/Positive/Hungry_1	
disgust		***animations/Stand/Reactions/LightShine_2, **animations/Stand/Reactions/BumperRight_1, ***animations/Stand/Reactions/LightShine_1, **animations/Stand/Reactions/SeeSomething_6, **animations/Stand/Reactions/BumperLeft_1, **animations/Stand/Reactions/Bumpers_1, **animations/Stand/Reactions/Bumpers_3, ***animations/Stand/Reactions/LightShine_4, **animations/Stand/Reactions/Bumpers_2, ***animations/Stand/Emotions/Negative/Fearful_1, **sound:animations/Stand/Emotions/Positive/Hungry_1
are_shocked_by	**animations/Stand/Reactions/LightShine_2, **animations/Stand/Reactions/LightShine_1, **animations/Stand/Reactions/ShakeBody_3, **animations/Stand/Reactions/LightShine_4, ***sound:animations/Stand/Emotions/Negative/Fear_2, **animations/Stand/Emotions/Negative/Fearful_1, ***animations/Stand/Emotions/Negative/Shocked_1, ***sound:animations/Stand/Emotions/Negative/Surprise_1, ***sound:animations/Stand/Emotions/Negative/Fear_1, ***sound:animations/Stand/Emotions/Negative/Surprise_3, ***sound:animations/Stand/Emotions/Negative/Surprise_2, *animations/Stand/Gestures/Surprised_1, *animations/Stand/Gestures/WhatSThis_13	
are_haunted_by	**animations/Stand/Reactions/LightShine_2, **animations/Stand/Reactions/LightShine_1, **animations/Stand/Reactions/LightShine_4, **animations/Stand/Emotions/Negative/Fearful_1, ***animations/Stand/Emotions/Negative/Anxious_1, ***animations/Stand/Gestures/Freeze_1	
haunt		**animations/Stand/Reactions/LightShine_2, **animations/Stand/Reactions/LightShine_1, **animations/Stand/Reactions/LightShine_4, **animations/Stand/Emotions/Negative/Fearful_1, ***animations/Stand/Emotions/Negative/Anxious_1, ***animations/Stand/Gestures/Freeze_1
terrorize		**animations/Stand/Reactions/LightShine_2, **animations/Stand/Reactions/LightShine_1, **animations/Stand/Reactions/LightShine_4, **animations/Stand/Emotions/Negative/Fearful_1, *animations/Stand/Emotions/Negative/Hurt_1, *sound:animations/Stand/Emotions/Negative/Angry_1
are_hurt_by	**animations/Stand/Reactions/LightShine_2, **animations/Stand/Reactions/LightShine_1, **animations/Stand/Reactions/LightShine_4, **animations/Stand/Emotions/Negative/Fearful_1	
hurt		**animations/Stand/Reactions/LightShine_2, **animations/Stand/Reactions/LightShine_1, **animations/Stand/Reactions/LightShine_4, **animations/Stand/Emotions/Negative/Fearful_1
blow_up	*animations/Stand/Reactions/LightShine_2, *animations/Stand/Reactions/LightShine_1, *animations/Stand/Reactions/LightShine_4, *animations/Stand/Emotions/Negative/Fearful_1, ***animations/Stand/Gestures/ShowSky_8, **animations/Stand/Gestures/Everything_3	
are_investigated_by		**animations/Stand/Reactions/SeeSomething_1, **animations/Stand/Reactions/SeeSomething_3, **animations/Stand/Reactions/SeeColor_1, **animations/Stand/Reactions/SeeColor_2, **animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Waiting/Think_4, *animations/Stand/Waiting/Think_4, **animations/Stand/Waiting/Think_1, *animations/Stand/Waiting/Think_1, **animations/Stand/Waiting/Think_3, **animations/Stand/Waiting/Think_2
examine	**animations/Stand/Reactions/SeeSomething_1, **animations/Stand/Reactions/SeeSomething_3, **animations/Stand/Reactions/SeeColor_1, **animations/Stand/Reactions/SeeColor_2, **animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Waiting/Think_4, *animations/Stand/Waiting/Think_4, **animations/Stand/Waiting/Think_1, *animations/Stand/Waiting/Think_1, **animations/Stand/Waiting/Think_3, **animations/Stand/Waiting/Think_2	
are_examined_by	**animations/Stand/Reactions/SeeSomething_1, **animations/Stand/Reactions/SeeSomething_3	
are_manipulated_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2	
manipulate	*animations/Stand/Emotions/Neutral/Stubborn_1, ***animations/Stand/Emotions/Neutral/Mischievous_1, **animations/Stand/Gestures/JointHands_3	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2
are_brainwashed_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2, *animations/Stand/Waiting/Zombie_1	
brainwash	**animations/Stand/Emotions/Neutral/Mischievous_1, *animations/Stand/Waiting/Zombie_1	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2
abet		***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2
baptise	***iconic_actions-4373e0/baptize	
baptize	***iconic_actions-4373e0/baptize	
point	***iconic_actions-4373e0/point	
are_baptized_by		***iconic_actions-4373e0/baptize
are_influenced_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2	
hit	***iconic_actions-4373e0/whip	
whip	***iconic_actions-4373e0/whip	
are_whipped_by		***iconic_actions-4373e0/whip
influence	**animations/Stand/Emotions/Neutral/Mischievous_1	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2
indoctrinate	**animations/Stand/Emotions/Neutral/Mischievous_1, **animations/Stand/Gestures/JointHands_3	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2
are_indoctrinated_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2	
are_traumatized_by	***animations/Stand/Reactions/TouchHead_3, ***animations/Stand/Reactions/TouchHead_2, **animations/Stand/Reactions/ShakeBody_3, *animations/Stand/Reactions/EthernetOn_1, *animations/Stand/Reactions/Heat_2, *animations/Stand/Reactions/Heat_1, *animations/Stand/Reactions/TouchHead_4, ***sound:animations/Stand/Emotions/Negative/Hurt_2	
delegate_to	**animations/Stand/Reactions/SeeSomething_8, ***animations/Stand/Emotions/Neutral/Determined_1, *animations/Stand/Gestures/This_10	
watch_over	**animations/Stand/Reactions/SeeSomething_8, ***animations/Stand/Waiting/Binoculars_1	
look_after	**animations/Stand/Reactions/SeeSomething_8, ***animations/Stand/Waiting/Binoculars_1	
_supervise	**animations/Stand/Reactions/SeeSomething_8	
are_supervised_by		**animations/Stand/Reactions/SeeSomething_8
monitor	**animations/Stand/Reactions/SeeSomething_8	
are_monitored_by		**animations/Stand/Reactions/SeeSomething_8
are_overlooked_by	**animations/Stand/Reactions/LightShine_3, ***animations/Stand/Waiting/HideEyes_1	**animations/Stand/Reactions/BumperRight_1, **animations/Stand/Reactions/SeeSomething_6, **animations/Stand/Reactions/BumperLeft_1, **animations/Stand/Reactions/Bumpers_1, **animations/Stand/Reactions/Bumpers_3, **animations/Stand/Reactions/Bumpers_2
show_loyalty_to	***animations/Stand/Reactions/EthernetOff_1, *animations/Stand/Emotions/Positive/Excited_3, ***animations/Stand/Gestures/Salute_1, **animations/Stand/Gestures/BowShort_1, ***animations/Stand/Gestures/Salute_2	
bow_down_to	**animations/Stand/Reactions/EthernetOff_1, **animations/Stand/Reactions/SeeSomething_4, **animations/Stand/Waiting/Stretch_1, ***animations/Stand/Gestures/Salute_1, ***animations/Stand/Gestures/BowShort_1, **animations/Stand/Gestures/Salute_2	
obey	**animations/Stand/Reactions/EthernetOff_1, ***animations/Stand/Gestures/Salute_3, *animations/Stand/Gestures/Look_2	
are_obeyed_by		**animations/Stand/Reactions/EthernetOff_1, ***animations/Stand/Gestures/Salute_3, *animations/Stand/Gestures/Look_2
are_disillusioned_by	*animations/Stand/Reactions/EthernetOff_1, *sound:animations/Stand/Emotions/Negative/Exhausted_2, *animations/Stand/Emotions/Negative/Exhausted_1, *animations/Stand/Gestures/Angry_3, *animations/Stand/Gestures/WhatSThis_13	
disillusion	**animations/Stand/Gestures/Hey_6	*animations/Stand/Reactions/EthernetOff_1, *sound:animations/Stand/Emotions/Negative/Exhausted_2, *animations/Stand/Emotions/Negative/Exhausted_1, *animations/Stand/Gestures/Angry_3, *animations/Stand/Gestures/WhatSThis_13
are_frustrated_by	**animations/Stand/Reactions/LightShine_3, **sound:animations/Stand/Emotions/Negative/Angry_3, *animations/Stand/Emotions/Negative/Disappointed_1	
are_overwhelmed_by	*animations/Stand/Reactions/LightShine_3, **animations/Stand/Reactions/ShakeBody_2, ***sound:animations/Stand/Emotions/Negative/Hurt_2, *animations/Stand/Gestures/Applause_1	
are_embarrassed_by	***animations/Stand/Reactions/SeeSomething_7, **animations/Stand/Emotions/Negative/Bored_1, *animations/Stand/Emotions/Negative/Sad_2, **animations/Stand/Emotions/Negative/Disappointed_1, **animations/Stand/Emotions/Negative/Bored_2, **animations/Stand/Emotions/Neutral/Innocent_1, **animations/Stand/Emotions/Neutral/Lonely_1, ***animations/Stand/Emotions/Neutral/Embarrassed_1	
