gesture	time	strong	moderate 	weak
animations/Stand/Gestures/ShowSky_8	1.212336063	*are_blessed_by,blow_up,praise 	inspire,*are_inspired_by,design_for 	
animations/Stand/Gestures/Hungry_1	2.73191309	are_sickened_by,*starve 		
animations/Stand/Gestures/This_6	1.518028975	*are_judged_by 	*are_lectured_by,lecture_to,coach,*are_coached_by,instruct ,*are_instructed_by 	
animations/Stand/Gestures/Kisses_1	5.762225151	kiss_up_to,*are_kissed_by 		
animations/Stand/Gestures/Please_3	2.354260921		operate_on,massage 	*are_scripted_by
animations/Stand/Gestures/Me_8	2.589684963		identify_with 	steal_from,rob,*are_robbed_by,borrow_from,*lend_to
animations/Stand/Gestures/CatchFly_2	3.560389042	snatch,*are_snatched_by,catch,*are_caught_by,capture,are_captured_by	steal_from,rob,*are_robbed_by 	
animations/Stand/Gestures/Next_1	3.057820082			agree_with,inherit_from 
animations/Stand/Gestures/Far_1	3.139340878	*are_introduced_by	propagandize_for 	campaign_for 
animations/Stand/Gestures/Surprised_1	5.052848101		spy_on,hide_from,are_intimidated_by,*intimidate,*intimidate_with,*threaten_with,*threaten,are_threatened_by 	are_shocked_by 
animations/Stand/Gestures/Give_4	3.925915003	deliver_to,export_to 	deliver_for,eject,*are_ejected_by 	unleash,send 
animations/Stand/Gestures/Wings_4	3.571660995	appease 		silence,*are_silenced_by,travel_with 
animations/Stand/Gestures/Mime_1	2.192128181		imitate,*are_imitated_by,mimic	impersonate,*are_impersonated_by 
animations/Stand/Gestures/Hey_3	3.733034134	welcome,*are_welcomed_by,*are_greeted_by,		
animations/Stand/Gestures/Explain_4	2.891483068		*listen_to,appeal_to,negotiate_with,negotiate_for,share_stories_with,debate,are_debated_by,debate_with,argue_with,talk_to,speak_with,communicate_with,speak_to,debrief,chat_with,confer_with	disagree_with 
animations/Stand/Gestures/Enthusiastic_3	2.59416914	disagree_with 	dislike,ignore,*are_ignored_by	are_disappointed_by,*disappoint,lose_faith_in 
animations/Stand/Gestures/Maybe_1	1.649633884		are_unimpressed_by,are_unimpressed_with,*fail_to_impress 	are_bored_by,are_bored_with 
animations/Stand/Gestures/ShowSky_3	#N/A		appeal_to,seek_advice_from,propose_to,pitch_at  	reward,*are_rewarded_by 
animations/Stand/Gestures/Angry_3	3.57791996	are_disappointed_by,*disappoint 	are_disrespected_by,*disrespect,are_offended_by,*offend,struggle_against,struggle_with 	are_rebuffed_by,*rebuff,are_disillusioned_by,*disillusion,are_dumped_by,*dump
animations/Stand/Gestures/Wings_1	7.574549913		perform_for,imitate,*are_imitated_by,mimic,*dress 	perform_with 
animations/Stand/Gestures/WhatSThis_15	1.636027098		encourage,*are_encouraged_by 	complain_to,are_thanked_by 
animations/Stand/Gestures/OnTheEvening_1	2.061666965			reject,*are_rejected_by 
animations/Stand/Gestures/This_1	2.547032118		speak_through,communicate_through,speak_for,talk_through,communicate_via 	propose_to,*are_named_by 
animations/Stand/Gestures/CountTwo_1	2.610907078		train_with	farm_for,pick_up  
animations/Stand/Gestures/Hey_7	3.572549105	reach_out_to,heckle,*are_heckled_by 	silence,*are_silenced_by 	
animations/Stand/Gestures/Coaxing_1	3.590945005	owe,*are_owed_by,kidnap,*are_kidnapped_by,abduct ,*are_abducted_by 	catch,*are_caught_by,snatch,are_snatched_by	
animations/Stand/Gestures/Give_3	2.115581036		*free,are_freed_by,*release,are_released_by	reject,*are_rejected_by 
animations/Stand/Gestures/This_9	2.596640825		let_go_of 	dump,are_dumped_by 
animations/Stand/Gestures/CountOne_1	1.70738101		agree_with 	fight_for 
animations/Stand/Gestures/Desperate_2	1.784626007		are_disappointed_by,*disappoint,lose_faith_in 	let_go_of 
animations/Stand/Gestures/CountFive_1	3.979106188	*are_lectured_by,lecture_to,teach,*are_taught_by,instruct,*are_instructed_by	coach,*are_coached_by,mentor,*are_mentored_by,*are_tutored_by,educate,*are_educated_by,*study_under,evaluate,evaluate_with,*are_evaluated_by	
animations/Stand/Gestures/Far_2	2.887409925		*are_introduced_by,pitch_at 	advocate_for 
animations/Stand/Gestures/Explain_9	2.910163164	counsel,advise,*are_advised_by,*are_counseled_by,*are_counselled_by 	advocate_for 	
animations/Stand/Gestures/Me_2	1.901625156	identify_with,represent,*are_represented_by 	trust,*are_trusted_by 	
animations/Stand/Gestures/Please_1	3.245223999	confess_to,beg_forgiveness_from,*are_begged_by,seek_forgiveness_from		
animations/Stand/Gestures/No_5	2.950011015			disagree_with,confer_with,*are_contradicted_by,operate_on 
animations/Stand/Gestures/Caress_2	3.183699131	send 	massage,deliver_for,cast_out 	
animations/Stand/Gestures/Stretch_1	6.21431613		entertain,*are_entertained_by 	lead_astray 
animations/Stand/Gestures/Claw_2	#N/A	*are_scripted_by,massage 	write_about,translate_for,*are_published_by,write_to,write_for 	compose_with 
animations/Stand/Gestures/ShowSky_2	#N/A		sacrifice_to 	appeal_to,send 
animations/Stand/Gestures/Desperate_4	1.799706936		are_disappointed_by,*disappoint,lose_faith_in,are_bored_by,are_bored_with 	are_unimpressed_by,are_unimpressed_with,*fail_to_impress 
animations/Stand/Gestures/YouKnowWhat_1	2.821493864		are_impressed_by,*impress,	guard,*are_guarded_by,defend,*are_defended_by,protect,*are_protected_by,are_shielded_by 
animations/Stand/Gestures/Take_1	#N/A		steal_from,rob,*are_robbed_by,topple,*are_toppled_by,subdue,*are_subdued_by 	
animations/Stand/Gestures/Explain_10	2.168097973			unleash,cede_power_to 
animations/Stand/Gestures/Thinking_3 	#N/A		ignore,*are_ignored_by,despise,*are_despised_by 	are_bored_by,are_bored_with 
animations/Stand/Gestures/Hide_1	3.384362936		deceive,are_deceived_by,tune_out,ignore,*are_ignored_by 	mystify,*are_mystified_by 
animations/Stand/Gestures/This_15	2.153643131			interact_with,lend_to
animations/Stand/Gestures/Wings_3	3.215279102		compose_with 	perform_with,perform_for 
animations/Stand/Gestures/Thinking_2	#N/A	look_for 	seek,*are_sought_by,search_for 	*are_tracked_by 
animations/Stand/Gestures/Explain_3	3.181647062	debate,*are_debated_by,argue_with,debate_with 	disagree_with 	
animations/Stand/Gestures/No_1	2.575654984	disagree_with	rebuff,*are_rebuffed_by,dismiss,*are_dismissed_by,disqualify,*are_disqualified_by,reject,*are_rejected_by,dislike  	silence,*are_silenced_by,*are_cut_off_by 
animations/Stand/Gestures/Explain_6    	1.381006956			carry_for,debate,*are_debated_by,argue_with,debate_with 
animations/Stand/Gestures/Caress_1	4.751456976	pamper 	tend,*are_tended_by ,care_for,*are_cared_for_by	massage 
animations/Stand/Gestures/OnTheEvening_4	2.778476		silence,are_silenced_by,*are_cut_off_by 	
animations/Stand/Gestures/OnTheEvening_2 	2.848512888	spread_lies_about 	cede_power_to,appease 	
animations/Stand/Gestures/Hey_1   	4.585111856	welcome,*are_welcomed_by,*are_greeted_by 		
animations/Stand/Gestures/Wings_2	3.166661024		appease 	silence,*are_silenced_by
animations/Stand/Gestures/CalmDown_2	2.044029951		disagree_with,appease,	silence,*are_silenced_by,*are_cut_off_by 
animations/Stand/Gestures/IDontKnow_5	2.308527946		break_with 	*are_uncovered_by,teach,*are_taught_by
animations/Stand/Gestures/This_12	1.853384972			*are_introduced_by,advise,*are_advised_by 
animations/Stand/Gestures/Wings_5	1.668817997		appease,heckle,*are_heckled_by	silence,*are_silenced_by
animations/Stand/Gestures/This_4	1.973330975		counsel,advise,*are_advised_by,*are_counseled_by,*are_counselled_by,argue_with,debate_with,*are_debated_by,debate 	disagree_with
animations/Stand/Gestures/This_2	3.072375059		are_toppled_by,topple	overthrow,*are_overthrown_by
animations/Stand/Gestures/You_5	2.906728029	lead,*are_led_by,guide,*are_guided_by,send 	command,*are_commanded_by 	
animations/Stand/Gestures/ShowFloor_2  	2.917550087		appease 	*are_rebuked_by 
animations/Stand/Gestures/This_5	1.753200054		*are_rebuked_by	appoint,*are_appointed_by 
animations/Stand/Gestures/CalmDown_5	2.821330071	appease 	silence,*are_silenced_by	
animations/Stand/Gestures/Reject_1	2.334619999		dump,*are_dumped_by,reject,*are_rejected_by 	dismiss,*are_dismissed_by 
animations/Stand/Gestures/ShowSky_7	#N/A		raise,are_raised_by,nurture,are_nurtured_by,build_for 	interpret_for,create_for,enhance 
animations/Stand/Gestures/Confused_1	1.800595045		are_impressed_by,*impress,*release,are_released_by,are_freed_by,*free	
animations/Stand/Gestures/IDontKnow_2	2.972368002			*fail_to_impress,are_unimpressed_with,are_unimpressed_by 
animations/Stand/Gestures/Shy_1	3.05638504		sing_with,are_intimidated_by,*intimidate,are_threatened_by,*threaten	breastfeed 
animations/Stand/Gestures/WhatSThis_4	1.701910019		let_go_of 	cede_power_to,leave_behind 
animations/Stand/Gestures/Mime_2	2.251814842		spread_lies_about,imitate,*are_imitated_by,mimic	impersonate,*are_impersonated_by 
animations/Stand/Gestures/OnTheEvening_5 	2.159255981		appease 	silence,*are_silenced_by
animations/Stand/Gestures/WhatSThis_3	2.42200613		deliver_for,deliver_to	operate_on,build_for 
animations/Stand/Gestures/This_13	1.530797958		rebuff,*are_rebuffed_by,dismiss,*are_dismissed_by 	
animations/Stand/Gestures/Enthusiastic_5	1.116617918	deliver_for,deliver_to 	run_away_from,are_energized_by 	
animations/Stand/Gestures/Hey_5	3.577232838	welcome,*are_welcomed_by,*are_greeted_by         	are_introduced_by 	
animations/Stand/Gestures/Yes_3	1.241127014		agree_with	*are_appreciated_by 
animations/Stand/Gestures/CalmDown_4	2.710297108	appease,settle_with 	silence,*are_silenced_by,spread_lies_about 	
animations/Stand/Gestures/CatchFly_1	2.572758913	snatch,*are_snatched_by,catch,*are_caught_by,capture,*are_captured_by		reach_out_to 
animations/Stand/Gestures/WhatSThis_2	1.948341846		deliver_for,deliver_to,sacrifice_to,supply_to,lend_to	share_stories_with,sell_to,cater_to 
animations/Stand/Gestures/Angry_2	2.515398979	mate_with,sleep_with 		
animations/Stand/Gestures/CountFour_2  	4.337553024	instruct,*are_instructed_by 	command,are_commanded_by ,compose_with 	
animations/Stand/Gestures/YouKnowWhat_5	2.78186202		disagree_with,preach_to 	
animations/Stand/Gestures/Explain_1	2.082682133		appeal_to 	negotiate_with,negotiate_for,advise,*are_advised_by  
animations/Stand/Gestures/No_3	2.502971888	disagree_with,*are_contradicted_by 	are_cut_off_by,break_with,let_go_of,*lose_favor_with,rebuff,*are_rebuffed_by,dismiss,*are_dismissed_by 	
animations/Stand/Gestures/This_3	1.949701071		order_from	vote_for,appeal_to 
animations/Stand/Gestures/Hey_6	3.051981211		inspire,*are_inspired_by,disillusion,*are_disillusioned_by 	
animations/Stand/Gestures/Give_1	2.488099813	deliver_to,deliver_for	carry_for,leak_to,sell_to,release,*are_released_by,free,*are_freed_by,cast_off 	*are_rewarded_with,send,*are_expelled_by 
animations/Stand/Gestures/Joy_1	3.522591114	release,*are_released_by,free,*are_freed_by,cast_off,welcome,*are_welcomed_by 	deliver_to,deliver_for,leak_to,sell_to	
animations/Stand/Gestures/ShowFloor_3	3.383652925			handle,*are_handled_by,deal_with
animations/Stand/Gestures/CalmDown_1	2.894753933	appease,settle_with 	silence,*are_silenced_by	
animations/Stand/Gestures/Follow_1   	4.388972998	write_about,write_for,write_to 	build_for 	
animations/Stand/Gestures/Explain_7	1.944380999		appeal_to 	negotiate_with,negotiate_for,advise,*are_advised_by  
animations/Stand/Gestures/Hey_2	5.254935026	welcome,*are_welcomed_by,*are_greeted_by         	are_introduced_by 	
animations/Stand/Gestures/Me_6	3.833732128	identify_with,represent,*are_represented_by 	owe,*are_owed_by,impersonate,*are_impersonated_by 	trust,*are_trusted_by 
animations/Stand/Gestures/You_1	2.143141031	select,*are_selected_by,pick,*are_picked_by,*are_chosen_by 	appoint,are_appointed_by,lead,*are_led_by,guide,*are_guided_by 	take_aim_at,target,*are_targeted_by 
animations/Stand/Gestures/Excited_1	#N/A		negotiate_with,negotiate_for 	spread_lies_about,cheat,*are_cheated_by,cheat_on,cheat_with 
animations/Stand/Gestures/ShowSky_9	1.215490103		look_up_to,praise 	pray_for,worship_with,worship,are_worshipped_by,pray_to,pray_with
animations/Stand/Gestures/JointHands_2	2.022706032		*are_retained_by 	beg_forgiveness_from,*are_begged_by,seek_forgiveness_from,encourage,are_encouraged_by 
animations/Stand/Gestures/ShowSky_5	#N/A	lead,are_led_by,guide,are_guided_by 	conquer,*are_conquered_by,command,*are_commanded_by	
animations/Stand/Gestures/CountMore_1    	2.666105032		welcome,*are_welcomed_by,*are_appreciated_by 	
animations/Stand/Gestures/Give_2	3.444699049		lend_to,*borrow_from 	answer_to,answer,*are_answered_by
animations/Stand/Gestures/WhatSThis_11	1.736746073		argue_with,debate_with,*are_debated_by,debate,ask_questions_for,*answer_questions_from	propose_to 
animations/Stand/Gestures/Choice_1	1.708668947	negotiate_with,negotiate_for,confer_with	evaluate,*are_evaluated_by,evaluate_with	
animations/Stand/Gestures/Thinking_4	#N/A			challenge,*are_challenged_by 
animations/Stand/Gestures/You_2	2.556559801	select,*are_selected_by,pick,are_picked_by,*are_chosen_by 	appoint,are_appointed_by,lead,*are_led_by,guide,*are_guided_by 	take_aim_at,target,*are_targeted_by 
animations/Stand/Gestures/Everything_6	2.463544846	appease,settle_with 	are_silenced_by,silence	dismiss,*are_dismissed_by 
animations/Stand/Gestures/Enthusiastic_2	2.046926975		agree_with 	argue_with,debate_with,debate_with,debate 
animations/Stand/Gestures/WhatSThis_5	2.517814875		fail_to_deliver_for,let_go_of 	
animations/Stand/Gestures/Enthusiastic_4	2.976154804			sing_with,catch,*are_caught_by,capture,*are_captured_by,snatch,*are_snatched_by,love,*are_loved_by 
animations/Stand/Gestures/Salute_1       	6.108914137	are_ennobled_by,show_loyalty_to,bow_down_to 	welcome,*are_welcomed_by,*promote,are_promoted_by 	
animations/Stand/Gestures/HeSays_2	2.030773163		translate_for 	talk_through 
animations/Stand/Gestures/WhatSThis_7	2.572973967		are_disappointed_by,*disappoint	
animations/Stand/Gestures/No_9	3.01396203	disagree_with,are_contradicted_by 	rebuff,are_rebuffed_by,dismiss,*are_dismissed_by,*are_rebuked_by 	refuse_to_pay,*are_refused_payment_by,withold_payment_from,withhold_payment_from 
animations/Stand/Gestures/Freeze_1	3.062237978	are_haunted_by,*haunt 	*starve 	
animations/Stand/Gestures/Reject_3	2.619718075	reject,*are_rejected_by 	leave_behind 	renounce 
animations/Stand/Gestures/Reject_4	2.004567862	rebuff,*are_rebuffed_by,dump,*are_dumped_by,*are_expelled_by,cast_out 	reject,*are_rejected_by 	
animations/Stand/Gestures/WhatSThis_9	2.632377148		are_disappointed_by,*disappoint	
animations/Stand/Gestures/Give_6	2.665616989		pitch_at,sell_to,deliver_to 	
animations/Stand/Gestures/This_8	1.330858946		argue_before,argue_with,debate_with,debate,are_debated_by	
animations/Stand/Gestures/WhatSThis_1   	3.563036203		are_disappointed_by,*disappoint,let_go_of,respect,are_respected_by,*are_introduced_by 	feel_sorry_for 
animations/Stand/Gestures/CalmDown_3	2.314500093	appease,settle_with 	are_silenced_by,silence	
animations/Stand/Gestures/Give_5	3.186055899	lend_to,deliver_to,deliver_for,lease_to,*lease_from,rent_to,*rent_from	*borrow_from,leak_to 	inherit_from,descend_from,confess_to 
animations/Stand/Gestures/Stretch_2	7.50572896		are_roused_by,*rouse,are_impressed_by,*impress	
animations/Stand/Gestures/ShowSky_4	3.391040087		impress,propagandize_for,campaign_for,praise 	*are_blessed_by 
animations/Stand/Gestures/Nothing_1	2.60864687		break_up_with,divorce,*are_divorced_by 	defeat,*are_defeated_by,lose_to,silence,*are_silenced_by 
animations/Stand/Gestures/Explain_2	2.366450071			negotiate_with,negotiate_for,advise,*are_advised_by,argue_with 
animations/Stand/Gestures/CountThree_1	3.359297991	argue_with,negotiate_with,negotiate_for,confer_with	debate,*are_debated_by,debate_with,convert,*are_converted_by,translate_for,inherit_from 	
animations/Stand/Gestures/WhatSThis_12	2.650218964		are_unimpressed_by,are_unimpressed_with,*fail_to_impress 	
animations/Stand/Gestures/Look_1	#N/A		fear,*are_feared_by,look_for	
animations/Stand/Gestures/CountFour_1    	4.299021006	argue_with,negotiate_with,negotiate_for,confer_with	debate,*are_debated_by,debate_with,convert,*are_converted_by,translate_for,lecture_to,*are_lectured_by,teach,*are_taught_by,educate,*are_educated_by,instruct,*are_instructed_by	rank 
animations/Stand/Gestures/HeSays_1	2.089204073			argue_with,debate,*are_debated_by,debate_with,consult,consult_with
animations/Stand/Gestures/Me_5	3.632987022	owe,*are_owed_by 	represent,*are_represented_by 	catch,*are_caught_by,capture,*are_captured_by 
animations/Stand/Gestures/BowShort_1	4.447517157	bow_down_to 	show_loyalty_to 	respect,*are_respected_by 
animations/Stand/Gestures/You_3	2.668388844	accuse,*are_accused_by 	*are_judged_by,select,*are_selected_by,pick,*are_picked_by,*are_chosen_by  	
animations/Stand/Gestures/CountFive_2	4.007743835	*are_lectured_by,lecture_to,teach,*are_taught_by,instruct,*are_instructed_by	coach,*are_coached_by,mentor,*are_mentored_by,*are_tutored_by,educate,*are_educated_by,*study_under,evaluate,evaluate_with,*are_evaluated_by	
animations/Stand/Gestures/CountMore_2	2.706836939	release,*are_released_by,free,*are_freed_by	welcome,*are_welcomed_by 	spread_lies_about 
animations/Stand/Gestures/This_14	1.768827915		propose_to 	argue_before,argue_with 
animations/Stand/Gestures/Choice_2	1.794613123		propose_to 	argue_before,argue_with 
animations/Stand/Gestures/Nothing_2	2.715588093	destroy 	silence,*are_silenced_by	disagree_with,confer_with,are_contradicted_by,dismiss,*are_dismissed_by 
animations/Stand/Gestures/Applause_1    	4.347826958		popularize,*are_popularized_by,are_entertained_by,*entertain  	are_overwhelmed_by,are_thanked_by 
animations/Stand/Gestures/Me_4	2.083295822	owe,*are_owed_by 	represent,*are_represented_by 	catch,*are_caught_by,capture,*are_captured_by 
animations/Stand/Gestures/Please_2	3.14229393		fear,are_feared_by,beg_forgiveness_from,*are_begged_by,seek_forgiveness_from,hide_from 	mourn_for 
animations/Stand/Gestures/You_4	2.984133959		accuse,*are_accused_by,select,*are_selected_by,pick,*are_picked_by,*are_chosen_by  	
animations/Stand/Gestures/No_7	2.100419044			disagree_with,release,*are_released_by,let_go_of 
animations/Stand/Gestures/Thinking_1	#N/A		agree_with,are_marketed_by 	persuade,*are_persuaded_by 
animations/Stand/Gestures/Everything_1	3.613157988	overshadow,*are_overshadowed_by,destroy 	are_pushed_too_far_by,dismiss,*are_dismissed_by,silence,*are_silenced_by,break_up_with,are_refused_payment_by,refuse_to_pay 	execute,settle_with,defeat,are_defeated_by,lose_to 
animations/Stand/Gestures/HeSays_3	2.056154013			debate,*are_debated_by,debate_with,lecture_to,*are_lectured_by,teach,*are_taught_by,educate,*are_educated_by,instruct,*are_instructed_by
animations/Stand/Gestures/WhatSThis_8	1.652343988			are_disappointed_by,argue_with,debate_with,*are_debated_by,debate
animations/Stand/Gestures/YouKnowWhat_2 	2.746107101		stand_up_to,resist,*are_resisted_by,guard,*are_guarded_by,defend,*are_defended_by,protect,*are_protected_by,*are_shielded_by 	despise,*are_despised_by 
animations/Stand/Gestures/ShowSky_6	#N/A	command,*are_commanded_by,lead,*are_led_by,guide,*are_guided_by 	*are_expelled_by,cast_out 	
animations/Stand/Gestures/Confused_2	2.765007019		seek_advice_from 	beg_forgiveness_from,are_begged_by,seek_forgiveness_from  
animations/Stand/Gestures/No_4	2.308509827	*are_rebuked_by	denounce,*are_denounced_by,sue,*are_sued_by,countersue,threaten,*are_threatened_by,threaten_with	condescend_to 
animations/Stand/Gestures/This_10	2.860975981			let_go_of,sacrifice_to,delegate_to,deliver_for 
animations/Stand/Gestures/YouKnowWhat_3	3.958626986		disagree_with,pander_to 	*are_rebuked_by 
animations/Stand/Gestures/No_8	1.906965971	disagree_with,dislike 	*are_contradicted_by 	are_disappointed_by,*disappoint,lose_faith_in 
animations/Stand/Gestures/WhatSThis_10	2.263547182			are_disappointed_by,argue_with,debate_with,*are_debated_by,debate
animations/Stand/Gestures/ShowFloor_5	1.637301922		let_go_of,release,*are_released_by,free,*are_freed_by	
animations/Stand/Gestures/Claw_1	#N/A	appease,settle_with 	*are_silenced_by,silence	
animations/Stand/Gestures/Everything_5	2.672108889		settle_with	overcome,are_overrun_by 
animations/Stand/Gestures/No_6                	2.280722141	are_disappointed_by,*disappoint,lose_faith_in 	*fail_to_impress,*lose_favor_with,disagree_with,despise,*are_despised_by,dislike 	
animations/Stand/Gestures/ShowSky_11	2.786406994		look_up_to,promote,*are_promoted_by,praise,pray_to,preach_to,worship,*are_worshipped_by 	
animations/Stand/Gestures/CountOne_2	1.811995029			cede_power_to,repay,*are_repaid_by 
animations/Stand/Gestures/WhatSThis_13	1.641541004		are_unimpressed_by,are_unimpressed_with 	are_shocked_by,are_disillusioned_by,*disillusion 
animations/Stand/Gestures/JointHands_1	2.17541194	create_for 	conspire_with,collude_with	pray_to,pray_with,preach_to,pray_for
animations/Stand/Gestures/OnTheEvening_3	3.027607918		appease 	silence,*are_silenced_by
animations/Stand/Gestures/ComeOn_1	#N/A	entice,*are_enticed_by,woo,*are_wooed_by 	dominate,*are_dominated_by 	
animations/Stand/Gestures/Great_1	2.765898943		steal_from,rob,*are_robbed_by,snatch,*are_snatched_by 	agree_with,are_appreciated_by 
animations/Stand/Gestures/ShowSky_1	1.23368907		look_up_to,praise,pray_to,preach_to,worship,*are_worshipped_by 	promote,*are_promoted_by
animations/Stand/Gestures/Coaxing_2	2.622501135		catch,*are_caught_by	capture,*are_captured_by 
animations/Stand/Gestures/WhatSThis_16 	2.655307055			are_unimpressed_by,are_unimpressed_with,fail_to_reward,reject,*are_rejected_by,unleash 
animations/Stand/Gestures/Reject_2	2.246280193		oppress,*are_oppressed_by,suppress,*are_suppressed_by 	reject,*are_rejected_by,subjugate,*are_subjugated_by 
animations/Stand/Gestures/This_11	2.455739021			guide,*are_guided_by,lead,*are_led_by,argue_with,debate_with 
animations/Stand/Gestures/CountTwo_2	2.623230934		*are_lectured_by,lecture_to,coach,*are_coached_by,teach,*are_taught_by,mentor,*are_mentored_by,*are_tutored_by,educate,*are_educated_by,instruct,*are_instructed_by,*study_under,evaluate,evaluate_with,*are_evaluated_by	negotiate_with,negotiate_for 
animations/Stand/Gestures/Explain_5 	2.979443073		argue_with,debate_with	agree_with 
animations/Stand/Gestures/Reject_6    	2.287753105	reject,*are_rejected_by,dismiss,are_dismissed_by 	let_go_of,dump,*are_dumped_by 	
animations/Stand/Gestures/YouKnowWhat_4	2.359077215		wait_on,*are_waited_upon_by 	are_unimpressed_by,are_unimpressed_with 
animations/Stand/Gestures/IDontKnow_4	2.340084076		are_disappointed_by,*disappoint,disagree_with,abandon,*are_abandoned_by	
animations/Stand/Gestures/Everything_2	2.350804091		appease	*are_silenced_by,silence
animations/Stand/Gestures/Everything_3 	3.419906139		break_up_with,divorce,*are_divorced_by,blow_up 	are_uncovered_by 
animations/Stand/Gestures/IDontKnow_3	1.788256884			are_bored_with,are_bored_by,are_unimpressed_by,are_unimpressed_with,*fail_to_impress 
animations/Stand/Gestures/IDontKnow_1	3.215595961	fail_to_deliver_for,fail_to_reward 	*fail_to_impress,*are_failed_by  	
animations/Stand/Gestures/CountThree_2	3.31188488		*are_lectured_by,lecture_to,coach,*are_coached_by,teach,*are_taught_by,mentor,*are_mentored_by,*are_tutored_by,educate,*are_educated_by,instruct,*are_instructed_by,*study_under,evaluate,evaluate_with,*are_evaluated_by,inherit_from,descend_from 	
animations/Stand/Gestures/Me_3    	1.763317108	are_named_by 	are_introduced_by 	
animations/Stand/Gestures/Desperate_5	3.380501986	are_disappointed_by,*disappoint,lose_faith_in 	despise,*are_despised_by,dislike 	
animations/Stand/Gestures/Look_2	#N/A		spy_on,fear,*are_feared_by,hide_from 	obey,*are_obeyed_by,conspire_with,collude_with
animations/Stand/Gestures/ShowSky_10	3.140946865		look_up_to,praise,pray_for,worship_with,worship,are_worshipped_by,pray_to,pray_with	
animations/Stand/Gestures/Salute_2	3.73095417	show_loyalty_to,are_ennobled_by 	bow_down_to ,welcome,*are_welcomed_by 	
animations/Stand/Gestures/Desperate_1	2.544054031	are_disappointed_by,*disappoint,lose_faith_in 	despise,*are_despised_by,dislike 	
animations/Stand/Gestures/YouKnowWhat_6	2.635972977		*are_lectured_by,lecture_to,coach,*are_coached_by,teach,*are_taught_by,mentor,*are_mentored_by,*are_tutored_by,educate,*are_educated_by,instruct,*are_instructed_by,*study_under,evaluate,evaluate_with,*are_evaluated_by,*are_rebuked_by 	
animations/Stand/Gestures/Angry_1	1.432957888		hate	dump,are_dumped_by,resist,*are_resisted_by 
animations/Stand/Gestures/ShowFloor_1	3.420892		let_go_of,release,*are_released_by,free,*are_freed_by	
animations/Stand/Gestures/Hey_4	3.423553944	welcome,*are_welcomed_by,*are_greeted_by 		are_introduced_by 	
animations/Stand/Gestures/Desperate_3   	2.61252594	are_disappointed_by,*disappoint,lose_faith_in,despise,*are_despised_by,dislike	*fail_to_impress,*lose_favor_with,disagree_with 	
