gesture	time	strong	moderate 	weak
animations/Stand/Reactions/SeeColor_1	4.972965002	are_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by	
animations/Stand/Reactions/SeeSomething_6	3.141307116		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/BumperLeft_1	3.246583939		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/TouchHead_1	3.092010975	are_disappointed_by,*disappoint,disagree_with	*are_disqualified_by,disqualify	
animations/Stand/Reactions/Bumpers_1	3.550976992		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/ShakeBody_3	4.965138197		are_shocked_by,are_driven_mad_by,are_traumatized_by	are_impressed_by,*impress,alienate
animations/Stand/Reactions/EthernetOn_1	#N/A			are_traumatized_by,are_inspired_by,*inspire
animations/Stand/Reactions/SeeColor_2	5.440299034	are_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by	
animations/Stand/Reactions/Heat_2	5.270565987	are_defeated_by,*defeat,lose_to	are_exploited_by,*exploit,are_abused_by,*abuse,*prey_on,*coerce,are_humiliated_by,*humiliate,are_denounced_by,*denounce,are_taunted_by,*taunt,*laugh_at	are_overrun_by,are_traumatized_by
animations/Stand/Reactions/ShakeBody_2	6.768774986		mourn_for,are_overwhelmed_by	
animations/Stand/Reactions/SeeColor_3	4.51772809		steal_from,rob,*are_robbed_by	
animations/Stand/Reactions/Bumpers_3	3.50353694		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/LightShine_4	4.927451849	fear,*are_feared_by,are_disgusted_by,*disgust	are_shocked_by,are_haunted_by,*haunt,*terrorize,are_hurt_by,*hurt	blow_up 
animations/Stand/Reactions/ShakeBody_1	2.782225132	disagree_with,*are_contradicted_by	dislike,disqualify,*are_disqualified_by	
animations/Stand/Reactions/Heat_1	4.892328024	are_defeated_by,*defeat,lose_to	are_exploited_by,*exploit,are_abused_by,*abuse,*prey_on,*coerce,are_humiliated_by,*humiliate,are_denounced_by,*denounce,are_taunted_by,*taunt,*laugh_at	are_overrun_by,are_traumatized_by
animations/Stand/Reactions/Bumpers_2	3.409882069		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/TouchHead_4	2.720969915			are_traumatized_by,are_inspired_by,*inspire
*animations/Stand/Emotions/Negative/Fear_2	9.812753916	are_shocked_by 	are_uncovered_by 	
animations/Stand/Emotions/Negative/Late_1	9.640611172	wait_on,*are_waited_upon_by		
animations/Stand/Emotions/Negative/Fearful_1	6.508034945	fear,*are_feared_by,are_disgusted_by,*disgust	are_shocked_by,are_haunted_by,*haunt,*terrorize,are_hurt_by,*hurt	blow_up 
animations/Stand/Emotions/Negative/Sorry_1	#N/A		beg_forgiveness_from,*are_begged_by,seek_forgiveness_from 	
*animations/Stand/Emotions/Negative/Angry_3	3.569354057		are_frustrated_by 	*are_cut_off_by
animations/Stand/Emotions/Negative/Bored_1	6.035137892	are_bored_by,are_bored_with,are_humiliated_by,*humiliate,are_denounced_by,*denounce	are_disappointed_by,*disappoint,are_unimpressed_by,*are_unimpressed_with,*fail_to_impress,are_embarrassed_by,*embarrass	
animations/Stand/Emotions/Negative/Sad_2	5.289283991			are_disappointed_by,*disappoint,are_unimpressed_by,*are_unimpressed_with,*fail_to_impress,are_embarrassed_by,*embarrass
animations/Stand/Emotions/Negative/Shocked_1	4.354683876	*impress,are_impressed_by,are_shocked_by 		
animations/Stand/Emotions/Negative/Disappointed_1	4.886038065		are_disappointed_by,*disappoint,are_unimpressed_by,*are_unimpressed_with,*fail_to_impress,are_embarrassed_by,*embarrass	are_frustrated_by 
*animations/Stand/Emotions/Negative/Surprise_1	3.532563925	are_shocked_by 	are_uncovered_by 	
*animations/Stand/Emotions/Negative/Sad_1	9.649086952	cry_for,mourn_for 	are_abandoned_by,*abandon	
*animations/Stand/Emotions/Negative/Fear_1	4.205783844	are_shocked_by,fear,*are_feared_by 		are_uncovered_by 
*animations/Stand/Emotions/Negative/Surprise_3	2.138776064	are_shocked_by,fear,*are_feared_by 		are_uncovered_by 
*animations/Stand/Emotions/Negative/Angry_2	6.369749069	anger,are_driven_mad_by 		*cause_trouble_for 
*animations/Stand/Emotions/Negative/Angry_4	3.155070066	anger,are_driven_mad_by,campaign_against,rise_against,rebel_against,*are_booed_by	overthrow,*are_overthrown_by,*are_deposed_by 	fight,*are_fought_by,fight_with,fight_against
animations/Stand/Emotions/Negative/Humiliated_1	9.624843836		dislike,are_intimidated_by,*intimidate,*intimidate_with,*threaten_with,*threaten,are_threatened_by 	reject,*are_rejected_by 
animations/Stand/Emotions/Negative/Hurt_1	2.237934828	anger,are_driven_mad_by 		*cause_trouble_for,*terrorize 
animations/Stand/Emotions/Negative/Bored_2	11.63758802	are_bored_by,are_bored_with,are_humiliated_by,*humiliate,are_denounced_by,*denounce	are_disappointed_by,*disappoint,are_unimpressed_by,*are_unimpressed_with,*fail_to_impress,are_embarrassed_by,*embarrass	
*animations/Stand/Emotions/Negative/Surprise_2	#N/A	are_shocked_by,fear,*are_feared_by 		are_uncovered_by 
*animations/Stand/Emotions/Negative/Exhausted_2	9.113406897		are_pushed_too_far_by,are_disappointed_by,*disappoint,lose_faith_in,are_bored_by,are_bored_with,are_humiliated_by,*humiliate,are_denounced_by,*denounce	are_disillusioned_by,*disillusion,are_excommunicated_by,*excommunicate,are_defrocked_by 
animations/Stand/Emotions/Negative/Exhausted_1	6.763907909		are_pushed_too_far_by,are_disappointed_by,*disappoint,lose_faith_in,are_bored_by,are_bored_with,are_humiliated_by,*humiliate,are_denounced_by,*denounce	are_disillusioned_by,*disillusion,are_excommunicated_by,*excommunicate,are_defrocked_by 
*animations/Stand/Emotions/Negative/Hurt_2	4.59426713	are_overwhelmed_by,are_traumatized_by,are_driven_mad_by	are_overrun_by 	
*animations/Stand/Emotions/Negative/Frustrated_1	3.742273092	are_disappointed_by,*disappoint,are_unimpressed_by,are_unimpressed_with,*fail_to_impress 	are_rejected_by,*reject	
animations/Stand/Emotions/Negative/Anxious_1	5.884389877	fear,*are_feared_by,are_haunted_by,*haunt	are_intrigued_by,are_intimidated_by,*intimidate,intimidate_with,are_threatened_by,*threaten	
*animations/Stand/Emotions/Negative/Angry_1	8.224815845	anger,are_driven_mad_by 		*cause_trouble_for,*terrorize 
animations/Stand/Emotions/Positive/Peaceful_1	5.650494099		silence,*are_silenced_by 	leave_behind 
animations/Stand/Emotions/Positive/Interested_1	5.371028185		sing_with 	
animations/Stand/Emotions/Positive/Enthusiastic_1	3.354640007	are_energized_by	are_drilled_by 	
animations/Stand/Emotions/Positive/Proud_2	5.857445002		are_energized_by,model_for,pose_for 	
animations/Stand/Emotions/Positive/Proud_1	5.914580107		are_energized_by,model_for,pose_for 	
*animations/Stand/Emotions/Positive/Hungry_1	6.892673016		are_disgusted_by,*disgust	
animations/Stand/Emotions/Positive/Happy_4	2.351964951	agree_with,encourage,*are_encouraged_by 		
animations/Stand/Emotions/Positive/Relieved_1	4.491667032	sweat_for 	are_saved_by,*save,*rescue,are_rescued_by,are_helped_by,*help	
*animations/Stand/Emotions/Positive/Laugh_2	2.813610077	laugh_at,joke_about 		
animations/Stand/Emotions/Positive/Excited_2	#N/A	promote,*are_promoted_by,are_entertained_by,*entertain,popularize,*are_popularized_by 		
*animations/Stand/Emotions/Positive/Mocker_1	4.159111023	laugh_at,joke_about,lead_astray,lead,*are_led_by,guide,*are_guided_by 		
animations/Stand/Emotions/Positive/Ecstatic_1	#N/A		*impress,are_impressed_by 	
*animations/Stand/Emotions/Positive/Happy_1	4.396276951	praise 		
*animations/Stand/Emotions/Positive/Amused_1	2.397043943		laugh_at,joke_about	
animations/Stand/Emotions/Positive/Confident_1	5.142564058	agree_with,support,*are_supported_by 	*are_appreciated_by 	
animations/Stand/Emotions/Positive/Excited_3	#N/A	are_impressed_by,*impress	profit_from 	show_loyalty_to,*are_thanked_by 
animations/Stand/Emotions/Positive/Hysterical_1	2.391167164	entertain,*are_entertained_by 	encourage,*are_encouraged_by,*are_overrun_by 	
