rob	animations/Stand/Gestures/Me_8, animations/Stand/Gestures/Great_1	animations/Stand/Gestures/Me_8, animations/Stand/Gestures/Great_1
are_robbed_by		
reach_out_to		
sell_to		
buy_from		
sell_through		
sell_via		
resemble	animations/Stand/BodyTalk/Speaking/BodyTalk_17	animations/Stand/BodyTalk/Speaking/BodyTalk_17
are_defeated_by	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1
defeat		
lose_to	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1
are_released_by	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Waiting/HideHands_1, animations/Stand/Gestures/Confused_1	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Waiting/HideHands_1, animations/Stand/Gestures/Confused_1
release	animations/Stand/Gestures/ShowFloor_5, animations/Stand/Gestures/ShowFloor_1	animations/Stand/Gestures/ShowFloor_5, animations/Stand/Gestures/ShowFloor_1
break_free_of	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Waiting/HideHands_1	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Waiting/HideHands_1
free	animations/Stand/Gestures/ShowFloor_5, animations/Stand/Gestures/ShowFloor_1	animations/Stand/Gestures/ShowFloor_5, animations/Stand/Gestures/ShowFloor_1
are_freed_by	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Waiting/HideHands_1, animations/Stand/Gestures/Confused_1	animations/Stand/BodyTalk/Speaking/BodyTalk_17, animations/Stand/Waiting/HideHands_1, animations/Stand/Gestures/Confused_1
cast_off		
vote_for		
lose_control_over		
refuse_to_pay		
are_refused_payment_by		
withold_payment_from		
withhold_payment_from		
beautify		
enhance		
admire		
are_admired_by		
charm		
are_charmed_by		
sing_with		
are_judged_by		
talk_through	animations/Stand/Gestures/HeSays_2	animations/Stand/Gestures/HeSays_2
act_via		
praise		
create_for		
silence	animations/Stand/Emotions/Positive/Peaceful_1, animations/Stand/Gestures/Everything_6, animations/Stand/Gestures/Everything_2	animations/Stand/Emotions/Positive/Peaceful_1, animations/Stand/Gestures/Everything_6, animations/Stand/Gestures/Everything_2
are_silenced_by	animations/Stand/Emotions/Neutral/Innocent_1, animations/Stand/Emotions/Neutral/Lonely_1, animations/Stand/Gestures/Everything_6	animations/Stand/Emotions/Neutral/Innocent_1, animations/Stand/Emotions/Neutral/Lonely_1, animations/Stand/Gestures/Everything_6
undermine		
are_undermined_by		
appease	animations/Stand/Reactions/SeeSomething_8, animations/Stand/Gestures/Everything_6, animations/Stand/Gestures/Everything_2	animations/Stand/Reactions/SeeSomething_8, animations/Stand/Gestures/Everything_6, animations/Stand/Gestures/Everything_2
are_disappointed_by	animations/Stand/Reactions/TouchHead_1, animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Sad_2, animations/Stand/Emotions/Negative/Disappointed_1, animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Emotions/Neutral/Lonely_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/WhatSThis_8, animations/Stand/Gestures/No_8, animations/Stand/Gestures/No_6, animations/Stand/Gestures/IDontKnow_4, animations/Stand/Gestures/Desperate_5	animations/Stand/Reactions/TouchHead_1, animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Sad_2, animations/Stand/Emotions/Negative/Disappointed_1, animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Emotions/Neutral/Lonely_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/WhatSThis_8, animations/Stand/Gestures/No_8, animations/Stand/Gestures/No_6, animations/Stand/Gestures/IDontKnow_4, animations/Stand/Gestures/Desperate_5
disappoint		
